[11/15/22 11:22AM] Para used command ::interface 48270 | Player rights = DEVELOPER	
[11/15/22 11:22AM] Para used command ::interface 48270 | Player rights = DEVELOPER	
[11/15/22 11:22AM] Para used command ::interface 57210 | Player rights = DEVELOPER	
[11/15/22 11:22AM] Para used command ::interface 57150 | Player rights = DEVELOPER	
[11/15/22 11:23AM] Para used command ::interface 57265 | Player rights = DEVELOPER	
[11/15/22 11:23AM] Para used command ::handlerewards | Player rights = DEVELOPER	
[11/15/22 11:23AM] Para used command ::handlerewards | Player rights = DEVELOPER	
[11/15/22 11:28AM] Para used command ::master | Player rights = DEVELOPER	
[11/15/22 11:28AM] Para used command ::item 23846 1 | Player rights = DEVELOPER	
[11/15/22 11:29AM] Para used command ::item 23841 1 | Player rights = DEVELOPER	
[11/15/22 11:32AM] Para used command ::upgrade | Player rights = DEVELOPER	
[11/15/22 11:33AM] Para used command ::interface 30330 | Player rights = DEVELOPER	
[11/15/22 11:34AM] Para used command ::interface 30330 | Player rights = DEVELOPER	
[11/15/22 11:34AM] Para used command ::interface 19700 | Player rights = DEVELOPER	
[11/15/22 11:34AM] Para used command ::interface 30330 | Player rights = DEVELOPER	
[11/15/22 11:35AM] Para used command ::interface 62200 | Player rights = DEVELOPER	
[12/15/22 09:11PM] Para used command ::tele 2529 4061 | Player rights = DEVELOPER	
