[4/7/22 06:41PM] Player dropped item: Slayer helm (T2), id: 23069, amount: 1	
[4/7/22 06:44PM] Player dropped item: Aspect Tokens, id: 10835, amount: 10	
[4/7/22 07:35PM] Player dropped item: Custom Extreme owner cape, id: 21613, amount: 1	
[4/7/22 07:38PM] Player dropped item: Custom Extreme owner cape, id: 21613, amount: 1	
[4/7/22 07:38PM] Player dropped item: Dark cape, id: 15100, amount: 1	
[4/7/22 07:41PM] Player dropped item: Custom Extreme owner cape, id: 21613, amount: 1	
[4/7/22 07:41PM] Player dropped item: Custom Extreme owner cape, id: 21613, amount: 1	
[4/7/22 07:41PM] Player dropped item: Custom Extreme owner cape, id: 21613, amount: 1	
[4/7/22 07:48PM] Player dropped item: Custom Extreme owner cape, id: 21613, amount: 1	
[4/9/22 12:10AM] Player dropped item: Aura (T5), id: 23048, amount: 1	
[4/9/22 12:10AM] Player dropped item: Aura (T3), id: 23046, amount: 1	
[4/9/22 12:59AM] Player dropped item: Slayer helm (T4), id: 23074, amount: 1	
[4/9/22 12:59AM] Player dropped item: Donator's Aura, id: 12630, amount: 1	
[4/9/22 01:02AM] Player dropped item: Aura (T2), id: 23045, amount: 1	
[4/9/22 12:25PM] Player dropped item: Raids [1] Key, id: 13591, amount: 2	
[4/14/22 10:23PM] Player dropped item: None, id: 24001, amount: 1	
[4/15/22 06:05PM] Player dropped item: Shattered cape, id: 20591, amount: 1	
[4/15/22 07:23PM] Player dropped item: BIS Body, id: 24002, amount: 1	
[4/18/22 08:51AM] Player dropped item: Bronze Token ($10), id: 23057, amount: 1	
[4/18/22 11:35AM] Player dropped item: Vault token, id: 12852, amount: 1	
[4/18/22 12:17PM] Player dropped item: Mage Aura (T1), id: 24000, amount: 1	
[4/18/22 01:51PM] Player dropped item: Universal Partyhat, id: 18419, amount: 1	
[4/18/22 10:11PM] Player dropped item: Mystical Strength, id: 24020, amount: 1	
[4/18/22 10:11PM] Player dropped item: Mystical Strength, id: 24020, amount: 1	
[4/18/22 10:11PM] Player dropped item: Sharpshooter Strength, id: 24021, amount: 1	
[4/18/22 10:11PM] Player dropped item: Warrior Strength, id: 24022, amount: 1	
[4/18/22 10:11PM] Player dropped item: Warrior Strength, id: 24022, amount: 1	
[4/18/22 10:11PM] Player dropped item: Ultimate Strength, id: 24023, amount: 1	
[4/18/22 10:12PM] Player dropped item: Ultimate Strength, id: 24023, amount: 1	
[4/18/22 11:15PM] Player dropped item: Inferno Cape, id: 10638, amount: 1	
[4/19/22 09:26AM] Player dropped item: None, id: 24030, amount: 1	
[4/19/22 09:38AM] Player dropped item: Aspect Tokens, id: 10835, amount: 4179	
[4/19/22 09:47AM] Player dropped item: Raids[2] Box, id: 18404, amount: 1	
[4/19/22 10:01AM] Player dropped item: Raids[2] Box, id: 18404, amount: 959	
[4/19/22 11:00AM] Player dropped item: Lucien Axe, id: 17714, amount: 1	
[4/19/22 11:00AM] Player dropped item: Lucien Crypt wings, id: 17686, amount: 1	
[4/19/22 11:04AM] Player dropped item: Angelic helm, id: 17638, amount: 1	
[4/19/22 11:05AM] Player dropped item: Angelic body, id: 17640, amount: 1	
[4/19/22 11:05AM] Player dropped item: Angelic platelegs, id: 15593, amount: 1	
[4/19/22 11:05AM] Player dropped item: Angels Flamethrower, id: 17712, amount: 1	
[4/19/22 11:05AM] Player dropped item: Shikruu Katana, id: 20549, amount: 1	
